"TIME","GEO","NRG_BAL","SIEC","UNIT","Value","Flag and Footnotes"
"2008","Italy","Inland consumption - calculated","Geothermal","Terajoule","207 647.000",""
"2008","Italy","Inland consumption - calculated","Solar thermal","Terajoule","2 800.000",""
"2008","Italy","Inland consumption - calculated","Primary solid biofuels","Terajoule","369 464.000",""
"2008","Italy","Inland consumption - calculated","Biogases","Terajoule","17 165.000",""
"2008","Italy","Inland consumption - calculated","Renewable municipal waste","Terajoule","26 756.000",""
"2008","Cyprus","Inland consumption - calculated","Geothermal","Terajoule","11.000",""
"2008","Cyprus","Inland consumption - calculated","Solar thermal","Terajoule","2 347.000",""
"2008","Cyprus","Inland consumption - calculated","Primary solid biofuels","Terajoule","630.000",""
"2008","Cyprus","Inland consumption - calculated","Biogases","Terajoule","78.000",""
"2008","Cyprus","Inland consumption - calculated","Renewable municipal waste","Terajoule",":",""
"2008","Latvia","Inland consumption - calculated","Geothermal","Terajoule",":",""
"2008","Latvia","Inland consumption - calculated","Solar thermal","Terajoule",":",""
"2008","Latvia","Inland consumption - calculated","Primary solid biofuels","Terajoule","46 032.000",""
"2008","Latvia","Inland consumption - calculated","Biogases","Terajoule","369.000",""
"2008","Latvia","Inland consumption - calculated","Renewable municipal waste","Terajoule",":",""
"2008","Lithuania","Inland consumption - calculated","Geothermal","Terajoule","27.000",""
"2008","Lithuania","Inland consumption - calculated","Solar thermal","Terajoule",":",""
"2008","Lithuania","Inland consumption - calculated","Primary solid biofuels","Terajoule","38 047.000",""
"2008","Lithuania","Inland consumption - calculated","Biogases","Terajoule","125.000",""
"2008","Lithuania","Inland consumption - calculated","Renewable municipal waste","Terajoule",":",""
"2008","Luxembourg","Inland consumption - calculated","Geothermal","Terajoule",":",""
"2008","Luxembourg","Inland consumption - calculated","Solar thermal","Terajoule","21.946",""
"2008","Luxembourg","Inland consumption - calculated","Primary solid biofuels","Terajoule","1 976.106",""
"2008","Luxembourg","Inland consumption - calculated","Biogases","Terajoule","383.780",""
"2008","Luxembourg","Inland consumption - calculated","Renewable municipal waste","Terajoule","535.282",""
"2008","Hungary","Inland consumption - calculated","Geothermal","Terajoule","4 000.000",""
"2008","Hungary","Inland consumption - calculated","Solar thermal","Terajoule","159.000",""
"2008","Hungary","Inland consumption - calculated","Primary solid biofuels","Terajoule","67 843.000",""
"2008","Hungary","Inland consumption - calculated","Biogases","Terajoule","913.000",""
"2008","Hungary","Inland consumption - calculated","Renewable municipal waste","Terajoule","1 931.000",""
"2008","Malta","Inland consumption - calculated","Geothermal","Terajoule",":",""
"2008","Malta","Inland consumption - calculated","Solar thermal","Terajoule","38.000",""
"2008","Malta","Inland consumption - calculated","Primary solid biofuels","Terajoule",":",""
"2008","Malta","Inland consumption - calculated","Biogases","Terajoule",":",""
"2008","Malta","Inland consumption - calculated","Renewable municipal waste","Terajoule",":",""
"2008","Netherlands","Inland consumption - calculated","Geothermal","Terajoule","96.000",""
"2008","Netherlands","Inland consumption - calculated","Solar thermal","Terajoule","846.000",""
"2008","Netherlands","Inland consumption - calculated","Primary solid biofuels","Terajoule","47 911.000",""
"2008","Netherlands","Inland consumption - calculated","Biogases","Terajoule","9 258.000",""
"2008","Netherlands","Inland consumption - calculated","Renewable municipal waste","Terajoule","30 549.000",""
"2008","Austria","Inland consumption - calculated","Geothermal","Terajoule","1 384.865",""
"2008","Austria","Inland consumption - calculated","Solar thermal","Terajoule","4 654.240",""
"2008","Austria","Inland consumption - calculated","Primary solid biofuels","Terajoule","158 912.278",""
"2008","Austria","Inland consumption - calculated","Biogases","Terajoule","7 590.386",""
"2008","Austria","Inland consumption - calculated","Renewable municipal waste","Terajoule","4 310.432",""
"2008","Poland","Inland consumption - calculated","Geothermal","Terajoule","531.000",""
"2008","Poland","Inland consumption - calculated","Solar thermal","Terajoule","54.000",""
"2008","Poland","Inland consumption - calculated","Primary solid biofuels","Terajoule","198 901.000",""
"2008","Poland","Inland consumption - calculated","Biogases","Terajoule","4 026.000",""
"2008","Poland","Inland consumption - calculated","Renewable municipal waste","Terajoule","9.000",""
"2008","Portugal","Inland consumption - calculated","Geothermal","Terajoule","7 363.000",""
"2008","Portugal","Inland consumption - calculated","Solar thermal","Terajoule","1 266.000",""
"2008","Portugal","Inland consumption - calculated","Primary solid biofuels","Terajoule","116 737.000",""
"2008","Portugal","Inland consumption - calculated","Biogases","Terajoule","962.000",""
"2008","Portugal","Inland consumption - calculated","Renewable municipal waste","Terajoule","3 826.000",""
"2008","Romania","Inland consumption - calculated","Geothermal","Terajoule","1 057.000",""
"2008","Romania","Inland consumption - calculated","Solar thermal","Terajoule","1.000",""
"2008","Romania","Inland consumption - calculated","Primary solid biofuels","Terajoule","155 350.000",""
"2008","Romania","Inland consumption - calculated","Biogases","Terajoule","25.000",""
"2008","Romania","Inland consumption - calculated","Renewable municipal waste","Terajoule",":",""
"2008","Slovenia","Inland consumption - calculated","Geothermal","Terajoule",":",""
"2008","Slovenia","Inland consumption - calculated","Solar thermal","Terajoule",":",""
"2008","Slovenia","Inland consumption - calculated","Primary solid biofuels","Terajoule","19 626.000",""
"2008","Slovenia","Inland consumption - calculated","Biogases","Terajoule","588.000",""
"2008","Slovenia","Inland consumption - calculated","Renewable municipal waste","Terajoule",":",""
"2008","Slovakia","Inland consumption - calculated","Geothermal","Terajoule","362.000",""
"2008","Slovakia","Inland consumption - calculated","Solar thermal","Terajoule","2.000",""
"2008","Slovakia","Inland consumption - calculated","Primary solid biofuels","Terajoule","19 801.000",""
"2008","Slovakia","Inland consumption - calculated","Biogases","Terajoule","425.000",""
"2008","Slovakia","Inland consumption - calculated","Renewable municipal waste","Terajoule","1 035.000",""
"2008","Finland","Inland consumption - calculated","Geothermal","Terajoule",":",""
"2008","Finland","Inland consumption - calculated","Solar thermal","Terajoule","32.000",""
"2008","Finland","Inland consumption - calculated","Primary solid biofuels","Terajoule","309 077.000",""
"2008","Finland","Inland consumption - calculated","Biogases","Terajoule","1 884.000",""
"2008","Finland","Inland consumption - calculated","Renewable municipal waste","Terajoule","5 918.000",""
"2008","Sweden","Inland consumption - calculated","Geothermal","Terajoule",":",""
"2008","Sweden","Inland consumption - calculated","Solar thermal","Terajoule","396.000",""
"2008","Sweden","Inland consumption - calculated","Primary solid biofuels","Terajoule","347 773.000",""
"2008","Sweden","Inland consumption - calculated","Biogases","Terajoule","4 288.000",""
"2008","Sweden","Inland consumption - calculated","Renewable municipal waste","Terajoule","26 591.000",""
"2008","United Kingdom","Inland consumption - calculated","Geothermal","Terajoule","33.000",""
"2008","United Kingdom","Inland consumption - calculated","Solar thermal","Terajoule","1 237.000",""
"2008","United Kingdom","Inland consumption - calculated","Primary solid biofuels","Terajoule","82 696.000",""
"2008","United Kingdom","Inland consumption - calculated","Biogases","Terajoule","67 515.000",""
"2008","United Kingdom","Inland consumption - calculated","Renewable municipal waste","Terajoule","15 903.000",""
"2008","Iceland","Inland consumption - calculated","Geothermal","Terajoule","143 831.000",""
"2008","Iceland","Inland consumption - calculated","Solar thermal","Terajoule",":",""
"2008","Iceland","Inland consumption - calculated","Primary solid biofuels","Terajoule",":",""
"2008","Iceland","Inland consumption - calculated","Biogases","Terajoule","15.000",""
"2008","Iceland","Inland consumption - calculated","Renewable municipal waste","Terajoule","77.000",""
"2008","Norway","Inland consumption - calculated","Geothermal","Terajoule",":",""
"2008","Norway","Inland consumption - calculated","Solar thermal","Terajoule",":",""
"2008","Norway","Inland consumption - calculated","Primary solid biofuels","Terajoule","46 555.000",""
"2008","Norway","Inland consumption - calculated","Biogases","Terajoule","1 137.000",""
"2008","Norway","Inland consumption - calculated","Renewable municipal waste","Terajoule","4 684.000",""
"2008","Montenegro","Inland consumption - calculated","Geothermal","Terajoule",":",""
"2008","Montenegro","Inland consumption - calculated","Solar thermal","Terajoule",":",""
"2008","Montenegro","Inland consumption - calculated","Primary solid biofuels","Terajoule","6 383.000",""
"2008","Montenegro","Inland consumption - calculated","Biogases","Terajoule",":",""
"2008","Montenegro","Inland consumption - calculated","Renewable municipal waste","Terajoule",":",""
"2008","North Macedonia","Inland consumption - calculated","Geothermal","Terajoule","373.000",""
"2008","North Macedonia","Inland consumption - calculated","Solar thermal","Terajoule",":",""
"2008","North Macedonia","Inland consumption - calculated","Primary solid biofuels","Terajoule","8 027.000",""
"2008","North Macedonia","Inland consumption - calculated","Biogases","Terajoule",":",""
"2008","North Macedonia","Inland consumption - calculated","Renewable municipal waste","Terajoule",":",""
"2008","Albania","Inland consumption - calculated","Geothermal","Terajoule",":",""
"2008","Albania","Inland consumption - calculated","Solar thermal","Terajoule","272.000",""
"2008","Albania","Inland consumption - calculated","Primary solid biofuels","Terajoule","9 002.000",""
"2008","Albania","Inland consumption - calculated","Biogases","Terajoule",":",""
"2008","Albania","Inland consumption - calculated","Renewable municipal waste","Terajoule",":",""
"2008","Serbia","Inland consumption - calculated","Geothermal","Terajoule","272.000",""
"2008","Serbia","Inland consumption - calculated","Solar thermal","Terajoule",":",""
"2008","Serbia","Inland consumption - calculated","Primary solid biofuels","Terajoule","33 681.000",""
"2008","Serbia","Inland consumption - calculated","Biogases","Terajoule",":",""
"2008","Serbia","Inland consumption - calculated","Renewable municipal waste","Terajoule",":",""
"2008","Turkey","Inland consumption - calculated","Geothermal","Terajoule","48 178.000",""
"2008","Turkey","Inland consumption - calculated","Solar thermal","Terajoule","17 584.000",""
"2008","Turkey","Inland consumption - calculated","Primary solid biofuels","Terajoule","199 518.000",""
"2008","Turkey","Inland consumption - calculated","Biogases","Terajoule","1 091.000",""
"2008","Turkey","Inland consumption - calculated","Renewable municipal waste","Terajoule",":",""
"2008","Bosnia and Herzegovina","Inland consumption - calculated","Geothermal","Terajoule",":",""
"2008","Bosnia and Herzegovina","Inland consumption - calculated","Solar thermal","Terajoule",":",""
"2008","Bosnia and Herzegovina","Inland consumption - calculated","Primary solid biofuels","Terajoule",":",""
"2008","Bosnia and Herzegovina","Inland consumption - calculated","Biogases","Terajoule",":",""
"2008","Bosnia and Herzegovina","Inland consumption - calculated","Renewable municipal waste","Terajoule",":",""
"2008","Kosovo (under United Nations Security Council Resolution 1244/99)","Inland consumption - calculated","Geothermal","Terajoule",":",""
"2008","Kosovo (under United Nations Security Council Resolution 1244/99)","Inland consumption - calculated","Solar thermal","Terajoule","9.000",""
"2008","Kosovo (under United Nations Security Council Resolution 1244/99)","Inland consumption - calculated","Primary solid biofuels","Terajoule","9 760.000",""
"2008","Kosovo (under United Nations Security Council Resolution 1244/99)","Inland consumption - calculated","Biogases","Terajoule",":",""
"2008","Kosovo (under United Nations Security Council Resolution 1244/99)","Inland consumption - calculated","Renewable municipal waste","Terajoule",":",""
"2008","Moldova","Inland consumption - calculated","Geothermal","Terajoule",":",""
"2008","Moldova","Inland consumption - calculated","Solar thermal","Terajoule",":",""
"2008","Moldova","Inland consumption - calculated","Primary solid biofuels","Terajoule",":",""
"2008","Moldova","Inland consumption - calculated","Biogases","Terajoule",":",""
"2008","Moldova","Inland consumption - calculated","Renewable municipal waste","Terajoule",":",""
"2008","Ukraine","Inland consumption - calculated","Geothermal","Terajoule",":",""
"2008","Ukraine","Inland consumption - calculated","Solar thermal","Terajoule",":",""
"2008","Ukraine","Inland consumption - calculated","Primary solid biofuels","Terajoule","72 378.000",""
"2008","Ukraine","Inland consumption - calculated","Biogases","Terajoule",":",""
