freq;nrg_bal;siec;unit;geo\TIME_PERIOD;2006;2007;2008;2009;2010;2011;2012;2013;2014;2015;2016;2017
A;FC_E;C0000X0350-0370;KTOE;BG;645.219;707.265;531.206;300.731;410.173;444.529;410.240;364.272;317.260;331.146;334.105;371.605
A;FC_E;C0350-0370;KTOE;BG;94.394;74.518;37.504;0;0;0;0;0;0;0;0;0
A;FC_E;E7000;KTOE;BG;2311.952;2339.897;2464.144;2308.426;2330.439;2443.766;2394.239;2367.326;2379.536;2435.598;2484.781;2571.679
A;FC_E;G3000;KTOE;BG;1465.198;1565.886;1490.563;991.831;1058.169;1273.839;1182.180;1155.933;1178.697;1299.635;1300.580;1352.734
A;FC_E;H8000;KTOE;BG;899.279;814.751;925.385;932.789;959.659;1040.317;985.215;907.208;901.834;817.976;783.032;658.588
A;FC_E;N900H;KTOE;BG;: z;: z;: z;: z;: z;: z;: z;: z;: z;: z;: z;: z
A;FC_E;O4000XBIO;KTOE;BG;3685.627;3521.665;3353.863;3122.452;2957.454;2864.565;2936.832;2617.657;2894.860;3193.997;3235.156;3370.469
A;FC_E;P1000;KTOE;BG;0;0;0;0;0;0;0;0;0;0;0;0
A;FC_E;RA000;KTOE;BG;795.985;735.133;819.374;813.812;985.827;1054.916;1203.138;1250.864;1189.257;1281.403;1348.365;1378.222
A;FC_E;S2000;KTOE;BG;0;0;0;0;0;0;0;0;0;0;0;0
A;FC_E;TOTAL;KTOE;BG;9953.137;9824.988;9625.120;8475.869;8710.128;9130.172;9118.436;8670.951;8884.159;9389.585;9517.547;9738.327
A;FC_E;W6100_6220;KTOE;BG;55.484;65.874;3.081;5.828;8.407;8.240;6.592;7.691;22.714;29.832;31.528;35.030
A;FC_E;C0000X0350-0370;KTOE;CY;38.810;33.315;28.069;14.559;16.779;7.460;124;124;2.218;3.679;0;2.980
A;FC_E;C0350-0370;KTOE;CY;0;0;0;0;0;0;0;0;0;0;0;0
A;FC_E;E7000;KTOE;CY;358.414;377.073;398.483;408.543;419.807;405.969;379.143;337.182;340.966;351.800;378.283;390.525
A;FC_E;G3000;KTOE;CY;0;0;0;0;0;0;0;0;0;0;0;0
A;FC_E;H8000;KTOE;CY;0;0;0;96;119;740;740;1.003;1.075;1.218;1.194;1.287
A;FC_E;N900H;KTOE;CY;: z;: z;: z;: z;: z;: z;: z;: z;: z;: z;: z;: z
A;FC_E;O4000XBIO;KTOE;CY;1096.287;1138.485;1148.205;1129.894;1100.253;1091.918;1004.094;925.113;919.638;937.759;975.140;996.615
A;FC_E;P1000;KTOE;CY;0;0;0;0;0;0;0;0;0;0;0;0
A;FC_E;RA000;KTOE;CY;53.979;70.087;90.031;95.868;97.827;103.244;101.906;102.575;102.025;107.872;111.042;123.522
A;FC_E;S2000;KTOE;CY;0;0;0;0;0;0;0;0;0;0;0;0
A;FC_E;TOTAL;KTOE;CY;1549.234;1625.838;1670.495;1655.552;1641.926;1609.426;1486.580;1367.072;1373.469;1414.653;1481.494;1536.481
A;FC_E;W6100_6220;KTOE;CY;1.744;6.879;5.708;6.592;7.141;96;573;1.075;7.548;12.324;15.835;21.553
