;freq;nrg_bal;siec;unit;geo\TIME_PERIOD;2006;2007;2008;2009;2010;2011;2012;2013;2014;2015;2016;2017
;A;FC_IND_E;TOTAL;KTOE;DE;55071.647;57342.826;56395.879;49984.775;55261.458;55929.885;55087.966;55145.270;54857.548;55230.717;55832.872;56272.562
;A;FC_OTH_CP_E;TOTAL;KTOE;DE;35960.574;30824.142;33732.323;32773.357;35355.811;31909.485;33249.051;34488.878;33042.933;34715.841;34000.502;34451.740
;A;FC_OTH_HH_E;TOTAL;KTOE;DE;63908.718;54446.226;60608.138;58525.916;62475.381;54577.626;56624.271;59711.098;51526.068;53170.322;56039.762;56552.299
;A;FC_TRA_E;TOTAL;KTOE;DE;55566.059;54232.484;53449.747;52546.003;53154.905;53651.194;53263.995;54252.816;55466.434;55157.730;56555.618;57242.588
DK;;;;;;;;;;;;;;;;;
;A;FC_E;TOTAL;KTOE;DK;14901.512;14940.069;14752.388;14142.444;14846.897;14113.571;13550.043;13385.050;12860.737;13342.372;13707.336;13861.642
;A;FC_IND_E;TOTAL;KTOE;DK;2914.177;2832.359;2717.254;2353.084;2447.222;2442.841;2303.657;2179.895;2123.446;2164.802;2243.208;2344.013
;A;FC_OTH_CP_E;TOTAL;KTOE;DK;2035.764;2005.903;2014.466;1995.647;2128.257;1947.911;1978.530;1964.493;1847.494;1900.449;1951.682;2009.709
;A;FC_OTH_HH_E;TOTAL;KTOE;DK;4514.733;4515.458;4500.026;4509.291;5004.212;4495.897;4444.487;4483.216;4145.954;4443.019;4594.598;4545.153
;A;FC_TRA_E;TOTAL;KTOE;DK;4527.259;4719.278;4641.185;4410.655;4369.391;4376.218;4019.235;3946.762;3980.064;4053.591;4142.361;4219.889
EA19;;;;;;;;;;;;;;;;;
;A;FC_E;TOTAL;KTOE;EA19;797417.643;780094.057;786896.264;749102.174;777089.427;738385.479;738025.894;740829.435;706531.719;721928.438;733787.390;741689.770
;A;FC_IND_E;TOTAL;KTOE;EA19;214536.093;219451.272;212332.955;183534.365;195084.909;193087.667;189099.780;186918.195;184610.228;183862.396;186481.915;187950.134
;A;FC_OTH_CP_E;TOTAL;KTOE;EA19;108171.340;102650.451;109728.614;109853.564;115253.201;105992.284;109439.307;111087.394;103641.860;109312.130;109850.162;113618.432
;A;FC_OTH_HH_E;TOTAL;KTOE;EA19;205743.051;191762.376;204672.627;203132.889;214185.251;190006.387;198838.844;203296.171;176970.832;186024.352;191998.995;193042.911
;A;FC_TRA_E;TOTAL;KTOE;EA19;242276.628;244407.739;238830.168;231599.080;230994.601;228922.900;220426.090;218984.055;221359.857;223169.208;226542.536;228204.373
EE;;;;;;;;;;;;;;;;;
;A;FC_E;TOTAL;KTOE;EE;2845.492;3049.536;3035.544;2730.945;2869.038;2800.061;2832.458;2841.207;2769.388;2734.082;2782.561;2805.780
;A;FC_IND_E;TOTAL;KTOE;EE;692.542;771.683;756.280;538.805;574.594;606.819;572.727;644.304;554.780;523.574;453.187;456.230
;A;FC_OTH_CP_E;TOTAL;KTOE;EE;393.581;401.280;433.792;418.577;424.239;402.177;423.519;417.892;457.642;465.394;494.174;471.298
;A;FC_OTH_HH_E;TOTAL;KTOE;EE;881.415;961.705;952.197;970.068;1026.849;935.253;970.828;933.506;888.143;857.435;930.578;942.495
;A;FC_TRA_E;TOTAL;KTOE;EE;778.281;820.519;797.189;710.703;748.235;746.862;754.566;735.383;737.588;755.203;776.862;802.772
EL;;;;;;;;;;;;;;;;;
;A;FC_E;TOTAL;KTOE;EL;20593.657;21068.219;20354.732;19653.105;18282.036;18098.630;16310.219;14608.463;14742.647;15678.203;15815.005;16054.234
;A;FC_IND_E;TOTAL;KTOE;EL;4241.297;4616.941;4230.259;3461.053;3471.477;3322.487;2991.578;2835.194;3087.964;3128.090;3072.764;3096.274
;A;FC_OTH_CP_E;TOTAL;KTOE;EL;2084.518;2143.262;2225.373;2148.407;1952.131;1867.847;1936.985;1818.441;1711.758;1872.619;2035.163;2191.693
;A;FC_OTH_HH_E;TOTAL;KTOE;EL;5512.991;5395.865;5229.914;4835.560;4615.023;5469.890;5039.435;3763.988;3786.023;4400.486;4287.223;4413.305
;A;FC_TRA_E;TOTAL;KTOE;EL;7571.885;7806.788;7570.462;8333.517;7443.210;6677.580;5587.602;5608.770;5635.497;5753.399;5897.048;5815.313
ES;;;;;;;;;;;;;;;;;
;A;FC_E;TOTAL;KTOE;ES;91561.026;93937.419;90434.218;83936.267;85156.547;81957.200;78446.010;75859.230;74943.175;75960.969;78005.390;79397.426
;A;FC_IND_E;TOTAL;KTOE;ES;24615.634;26627.198;25076.089;20693.264;20776.975;20602.546;20088.387;19587.584;19293.488;18205.959;18378.539;18973.788
;A;FC_OTH_CP_E;TOTAL;KTOE;ES;8937.271;8828.268;9306.095;9414.431;9806.087;10197.481;10036.261;9595.893;8924.074;10268.907;10892.591;10412.985
;A;FC_OTH_HH_E;TOTAL;KTOE;ES;15629.050;15672.903;15542.505;15967.814;16964.172;15662.135;15559.386;14918.154;14814.004;14998.213;15208.781;15435.162
;A;FC_TRA_E;TOTAL;KTOE;ES;37870.440;38898.001;37022.456;34531.317;33877.104;32058.462;29298.283;28058.785;28223.339;29517.952;30643.218;31722.806
EU28;;;;;;;;;;;;;;;;;
;A;FC_E;TOTAL;KTOE;EU28;1123359.479;1101852.292;1108937.482;1056268.050;1098612.491;1045569.746;1047081.027;1046940.430;1001628.182;1024858.172;1046348.137;1060037.262
;A;FC_IND_E;TOTAL;KTOE;EU28;299397.496;303830.720;293523.255;253501.013;267927.058;265388.063;260168.542;257899.354;254669.213;254519.364;257056.348;261036.787
;A;FC_OTH_CP_E;TOTAL;KTOE;EU28;147980.080;140896.777;150111.919;149209.293;157281.123;145453.358;149063.910;150558.334;141319.489;148721.730;151104.566;154040.559
;A;FC_OTH_HH_E;TOTAL;KTOE;EU28;307029.899;288626.624;303302.707;301625.925;321912.310;286155.342;299296.798;303071.450;266740.052;278601.141;287630.072;287974.976
;A;FC_TRA_E;TOTAL;KTOE;EU28;331538.545;336473.803;330408.796;321738.215;320441.754;317939.767;307979.439;304488.452;308811.267;313269.738;320824.853;326872.120
FI;;;;;;;;;;;;;;;;;
;A;FC_E;TOTAL;KTOE;FI;25234.020;25276.628;24372.890;22844.480;25091.360;23761.531;23975.688;23567.053;23420.584;23052.168;23991.215;24639.947
;A;FC_IND_E;TOTAL;KTOE;FI;12152.857;11888.187;11252.188;9377.463;10719.081;10521.338;10236.074;10277.700;10227.572;10213.923;10527.166;10718.873
