freq;nrg_bal;siec;unit;geo\TIME_PERIOD;2006;2007;2008;2009;2010;2011;2012;2013;2014;2015;2016;2017
A;NRGSUP;C0000X0350-0370;KTOE;BG;6980.290;7884.042;7485.047;6415.859;6938.197;8093.680;6915.000;5946.623;6357.280;6607.404;5698.588;6122.761
A;NRGSUP;C0350-0370;KTOE;BG;0;0;0;0;0;0;0;0;0;0;0;0
A;NRGSUP;E7000;KTOE;BG;-665.778;-384.781;-459.501;-436.199;-726.225;-916.681;-714.359;-531.470;-812.984;-909.286;-547.893;-471.227
A;NRGSUP;G3000;KTOE;BG;2900.602;3010.426;2914.209;2160.727;2300.365;2630.267;2451.161;2397.743;2362.597;2594.755;2686.522;2762.242
A;NRGSUP;H8000;KTOE;BG;0;0;0;0;0;0;0;0;0;0;0;0
A;NRGSUP;N900H;KTOE;BG;5070.206;3838.406;4131.556;3877.900;3849.100;4105.100;4020.200;3667.600;4046.700;3912.000;4010.900;3940.700
A;NRGSUP;O4000XBIO;KTOE;BG;5005.099;4770.638;4666.743;4215.183;3841.124;3639.068;3851.628;3505.986;3844.936;4166.890;4139.850;4318.874
A;NRGSUP;P1000;KTOE;BG;0;0;0;0;0;0;0;0;0;0;0;0
A;NRGSUP;RA000;KTOE;BG;1163.064;986.293;1089.754;1143.466;1494.265;1405.201;1674.081;1878.577;1853.359;2066.661;2028.554;1951.901
A;NRGSUP;S2000;KTOE;BG;0;0;0;0;0;0;0;0;0;0;0;0
A;NRGSUP;TOTAL;KTOE;BG;20512.693;20172.594;19830.889;17382.763;17705.233;18964.874;18204.303;16872.749;17674.602;18468.255;18048.048;18660.371
A;NRGSUP;W6100_6220;KTOE;BG;59.210;67.570;3.081;5.828;8.407;8.240;6.592;7.691;22.714;29.832;31.528;35.120
A;NRGSUP;C0000X0350-0370;KTOE;CY;38.810;33.315;28.069;14.559;16.779;7.460;124;124;2.218;3.679;0;2.980
A;NRGSUP;C0350-0370;KTOE;CY;0;0;0;0;0;0;0;0;0;0;0;0
A;NRGSUP;E7000;KTOE;CY;0;0;0;0;0;0;0;0;0;0;0;0
A;NRGSUP;G3000;KTOE;CY;0;0;0;0;0;0;0;0;0;0;0;0
A;NRGSUP;H8000;KTOE;CY;0;0;0;0;0;0;0;0;0;0;0;0
A;NRGSUP;N900H;KTOE;CY;0;0;0;0;0;0;0;0;0;0;0;0
A;NRGSUP;O4000XBIO;KTOE;CY;2235.282;2349.768;2488.177;2439.904;2342.938;2270.530;2126.035;1814.995;1857.156;1882.582;2010.579;2055.179
A;NRGSUP;P1000;KTOE;CY;0;0;0;0;0;0;0;0;0;0;0;0
A;NRGSUP;RA000;KTOE;CY;55.849;73.200;94.976;100.055;105.551;120.965;129.456;134.354;132.511;146.658;152.981;166.493
A;NRGSUP;S2000;KTOE;CY;0;0;0;0;0;0;0;0;0;0;0;0
A;NRGSUP;TOTAL;KTOE;CY;2331.685;2463.162;2616.931;2561.110;2472.410;2399.051;2256.188;1950.547;1999.432;2045.243;2179.396;2246.205
A;NRGSUP;W6100_6220;KTOE;CY;1.744;6.879;5.708;6.592;7.141;96;573;1.075;7.548;12.324;15.835;21.553
A;NRGSUP;C0000X0350-0370;KTOE;CZ;20940.828;21263.165;19677.428;17608.418;18846.975;18300.811;17283.113;17276.269;15972.076;16394.610;16553.885;15837.627
A;NRGSUP;C0350-0370;KTOE;CZ;0;0;0;0;0;0;0;0;0;0;0;0
A;NRGSUP;E7000;KTOE;CZ;-1086.071;-1388.908;-986.156;-1173.173;-1285.297;-1465.520;-1472.055;-1452.021;-1401.548;-1076.096;-943.594;-1120.972
A;NRGSUP;G3000;KTOE;CZ;7593.530;7238.650;7173.538;6804.256;8069.540;6809.157;6856.105;6946.410;6182.115;6482.760;7016.316;7200.989
A;NRGSUP;H8000;KTOE;CZ;-2.986;-2.771;-2.651;-2.150;-2.126;-1.863;-1.696;-1.266;-1.123;-1.218;-1.194;-747
A;NRGSUP;N900H;KTOE;CZ;6795.328;6823.030;6918.429;6975.400;7292.600;7369.300;7901.200;8035.600;7821.300;6993.600;6281.700;7016.800
A;NRGSUP;O4000XBIO;KTOE;CZ;9584.165;9644.915;9714.259;9189.706;8983.239;8743.737;8623.466;8282.728;8811.561;8610.675;7990.927;9317.714
A;NRGSUP;P1000;KTOE;CZ;0;0;0;0;0;0;0;0;0;0;0;0
A;NRGSUP;RA000;KTOE;CZ;2233.473;2346.529;2550.736;2883.514;3179.680;3499.055;3752.361;4119.466;4255.631;4369.677;4416.386;4519.983
A;NRGSUP;S2000;KTOE;CZ;0;0;0;0;0;0;0;0;0;0;0;0
A;NRGSUP;TOTAL;KTOE;CZ;46220.611;46112.104;45236.062;42482.876;45285.433;43474.606;43167.701;43423.484;41890.706;42051.308;41618.906;43077.054
A;NRGSUP;W6100_6220;KTOE;CZ;162.344;187.494;190.480;196.905;200.822;219.929;225.208;216.299;250.693;277.300;304.481;305.660
A;NRGSUP;C0000X0350-0370;KTOE;DE;86145.682;86109.091;80108.009;72071.598;79075.728;77965.871;79918.633;81561.127;79604.753;79414.733;77130.836;71308.498
A;NRGSUP;C0350-0370;KTOE;DE;0;0;0;0;0;0;0;0;0;0;0;0
A;NRGSUP;E7000;KTOE;DE;-1459.759;-1423.474;-1728.289;-1055.288;-1285.899;-323.732;-1766.294;-2768.100;-2913.586;-4151.505;-4344.368;-4510.662
A;NRGSUP;G3000;KTOE;DE;79296.238;76495.228;77162.403;72731.513;75904.880;69595.959;69819.325;73102.214;63374.420;65154.342;70330.310;75340.679
A;NRGSUP;H8000;KTOE;DE;-5.685;-5.255;-5.852;-5.708;-6.353;-5.685;-5.995;-3.798;-3.368;-3.463;-3.105;-2.962
A;NRGSUP;N900H;KTOE;DE;43147.635;36251.247;38304.815;34733.200;36200.800;27807.200;25618.600;25052.200;25010.700;23636.300;21794.700;19654.700
A;NRGSUP;O4000XBIO;KTOE;DE;117035.340;104923.892;110941.286;103864.804;105241.082;101756.269;101387.425;103757.953;101723.810;101851.224;102155.581;103645.628
A;NRGSUP;P1000;KTOE;DE;1.600;0;0;0;0;0;0;0;0;0;0;0
A;NRGSUP;RA000;KTOE;DE;20580.712;23727.535;23352.055;24481.325;27570.642;29300.462;32251.724;33397.319;35406.261;38354.263;38915.344;42707.453
A;NRGSUP;S2000;KTOE;DE;0;0;0;0;0;0;0;0;0;0;0;0
A;NRGSUP;TOTAL;KTOE;DE;346903.129;328566.655;331454.171;310430.954;326607.013;309970.210;311239.301;318206.277;306505.154;308507.805;310492.767;312657.354
A;NRGSUP;W6100_6220;KTOE;DE;2161.364;2488.392;3319.743;3609.511;3906.134;3873.865;4015.883;4107.361;4302.164;4251.911;4513.471;4514.020
A;NRGSUP;C0000X0350-0370;KTOE;DK;5477.002;4651.676;4005.865;4003.471;3808.941;3234.475;2467.764;3173.545;2533.670;1817.636;1973.593;1548.564
A;NRGSUP;C0350-0370;KTOE;DK;0;0;0;0;0;0;0;0;0;0;0;0
A;NRGSUP;E7000;KTOE;DK;-596.303;-81.685;125.107;28.719;-97.592;113.500;448.323;93.035;245.486;508.303;434.832;392.323
A;NRGSUP;G3000;KTOE;DK;4536.565;4061.629;4073.194;3895.507;4421.991;3717.390;3484.415;3315.972;2804.025;2852.415;2878.076;2747.301
A;NRGSUP;H8000;KTOE;DK;3.654;3.535;3.654;3.654;4.156;3.630;3.822;3.702;3.368;3.597;3.061;2.956
A;NRGSUP;N900H;KTOE;DK;0;0;0;0;0;0;0;0;0;0;0;0
A;NRGSUP;O4000XBIO;KTOE;DK;7551.945;7524.469;7381.762;6727.562;7009.073;6507.195;6283.186;5985.059;5749.760;5795.660;5875.460;6131.007
A;NRGSUP;P1000;KTOE;DK;0;0;0;0;0;0;0;0;0;0;0;0
A;NRGSUP;RA000;KTOE;DK;2982.055;3304.674;3352.655;3415.548;4042.288;4140.773;4332.690;4494.611;4713.927;5080.208;5300.877;5980.224
A;NRGSUP;S2000;KTOE;DK;0;0;0;0;0;0;0;0;0;0;0;0
A;NRGSUP;TOTAL;KTOE;DK;20367.931;19891.569;19388.378;18497.337;19595.085;18129.976;17421.581;17468.618;16466.448;16484.423;16890.486;17228.484
A;NRGSUP;W6100_6220;KTOE;DK;413.012;427.271;446.140;422.877;406.229;413.012;401.381;402.694;416.213;426.604;424.587;426.109
A;NRGSUP;C0000X0350-0370;KTOE;EA19;175551.319;176824.725;160146.124;140306.994;147782.441;152590.762;159116.410;154620.759;147958.004;149725.050;140705.011;135381.285
A;NRGSUP;C0350-0370;KTOE;EA19;0;0;0;0;0;0;0;0;0;0;0;0
A;NRGSUP;E7000;KTOE;EA19;2129.777;2443.721;2095.813;2145.391;1875.784;2401.927;2902.977;1802.121;1815.699;1693.063;812.090;787.675
A;NRGSUP;G3000;KTOE;EA19;302623.661;299104.602;306379.605;289492.174;310488.126;283297.613;278323.942;274159.882;239613.796;251101.098;265998.202;280814.717
A;NRGSUP;H8000;KTOE;EA19;-5.685;-5.255;-5.852;-5.708;-6.353;-5.685;-5.995;-3.798;-1.601;-1.552;-1.123;-956
A;NRGSUP;N900H;KTOE;EA19;202239.264;191705.818;194382.990;182495.579;188110.500;182711.600;174785.200;173073.800;174652.100;171240.300;165234.100;161300.900
A;NRGSUP;O4000XBIO;KTOE;EA19;483383.729;465045.011;461395.188;435676.785;429207.724;413954.368;395648.126;388003.169;382842.232;387614.813;387296.774;391451.845
A;NRGSUP;P1000;KTOE;EA19;3044.510;3357.093;3095.827;2911.735;2987.719;2815.760;2754.740;1823.176;2169.334;2199.685;2179.203;2026.576
A;NRGSUP;RA000;KTOE;EA19;91728.276;100111.856;107064.607;113455.979;125612.080;122946.024;135929.161;145364.006;146739.354;149718.016;154761.473;162051.261
A;NRGSUP;S2000;KTOE;EA19;2972.478;3600.433;3328.545;2902.264;3843.341;3983.689;3652.752;4354.708;4157.662;3770.846;4201.058;4201.820
A;NRGSUP;TOTAL;KTOE;EA19;1270007.536;1249108.315;1245740.902;1177774.030;1218821.981;1173845.843;1162451.216;1152971.747;1110054.189;1127331.011;1131947.896;1148735.602
A;NRGSUP;W6100_6220;KTOE;EA19;6340.206;6920.310;7858.057;8392.834;8920.613;9149.784;9343.901;9773.926;10107.612;10269.693;10761.110;10720.477
A;NRGSUP;C0000X0350-0370;KTOE;EE;22.939;57.091;60.527;44.185;23.940;29.079;24.464;27.993;33.582;13.360;8.659;12.289
A;NRGSUP;C0350-0370;KTOE;EE;0;0;0;0;0;0;0;0;0;0;0;0
A;NRGSUP;E7000;KTOE;EE;-64.488;-208.083;-80.911;7.051;-279.794;-306.277;-192.605;-308.512;-236.801;-79.536;-175.150;-235.082
A;NRGSUP;G3000;KTOE;EE;808.147;803.353;770.507;525.129;562.511;503.289;545.400;554.901;435.555;390.456;428.267;405.954
A;NRGSUP;H8000;KTOE;EE;0;0;0;0;0;0;0;0;0;0;0;0
A;NRGSUP;N900H;KTOE;EE;0;0;0;0;0;0;0;0;0;0;0;0
A;NRGSUP;O4000XBIO;KTOE;EE;775.521;777.090;718.073;559.652;572.779;524.435;503.513;459.435;402.126;277.519;413.019;149.779
A;NRGSUP;P1000;KTOE;EE;49.581;65.336;56.102;52.690;54.170;51.005;47.225;44.082;38.572;31.976;34.388;35.632
A;NRGSUP;RA000;KTOE;EE;530.818;601.686;646.171;717.544;846.492;835.509;861.442;851.138;858.884;905.483;965.692;1062.258
A;NRGSUP;S2000;KTOE;EE;2972.478;3600.433;3328.545;2902.264;3843.341;3983.689;3652.752;4354.708;4157.662;3770.846;4201.058;4201.820
A;NRGSUP;TOTAL;KTOE;EE;5094.995;5696.906;5499.013;4808.514;5623.440;5620.728;5442.190;6088.073;5757.841;5377.363;5946.441;5704.806
A;NRGSUP;W6100_6220;KTOE;EE;0;0;0;0;0;0;0;104.328;68.262;67.259;70.507;72.155
A;NRGSUP;C0000X0350-0370;KTOE;EL;8427.394;8835.988;8321.546;8425.257;7863.033;7886.860;8134.842;6981.004;6687.083;5606.374;4369.484;4816.635
A;NRGSUP;C0350-0370;KTOE;EL;0;0;0;0;0;0;0;0;0;0;0;0
A;NRGSUP;E7000;KTOE;EL;361.307;374.463;482.631;375.494;490.628;277.902;153.482;162.253;758.298;826.139;756.320;536.285
A;NRGSUP;G3000;KTOE;EL;2747.248;3364.144;3506.148;2971.002;3234.501;3972.248;3662.102;3236.285;2484.308;2676.913;3489.725;4203.668
A;NRGSUP;H8000;KTOE;EL;0;0;0;0;0;0;0;0;0;0;0;0
A;NRGSUP;N900H;KTOE;EL;0;0;0;0;0;0;0;0;0;0;0;0
A;NRGSUP;O4000XBIO;KTOE;EL;16716.221;15711.193;16211.449;15677.162;13724.941;12328.514;11986.327;10180.811;10610.777;11066.838;11236.426;10772.450
A;NRGSUP;P1000;KTOE;EL;0;0;0;0;0;0;0;0;0;0;0;0
A;NRGSUP;RA000;KTOE;EL;1783.400;1726.419;1709.295;1865.772;2131.276;2139.915;2449.140;2616.126;2444.303;2777.234;2639.971;2915.410
A;NRGSUP;S2000;KTOE;EL;0;0;0;0;0;0;0;0;0;0;0;0
A;NRGSUP;TOTAL;KTOE;EL;30041.136;30017.772;30235.081;29318.723;27476.408;26633.504;26400.822;23197.569;23005.500;23042.635;22552.044;23244.448
A;NRGSUP;W6100_6220;KTOE;EL;5.565;5.565;4.013;4.036;32.029;28.064;14.928;21.090;20.732;89.137;60.118;0
